"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx","type"
625,25.9690516431923,560006.108618423,6812973.64391934,"STN00625",178.1,NA,NA,"STN00625",NA,"RB01"
650,-30.1538873239436,560015.374973972,6812914.83834538,"STN00650",178.1,NA,NA,"STN00650",NA,"LB01"
650,25.8401367187498,559998.464778711,6812968.20065029,"STN00650",178.1,NA,NA,"STN00650",NA,"RB01"
675,-32.4968818121506,559982.677515591,6812907.68111819,"STN00675",178.1,NA,NA,"STN00675",NA,"LB01"
675,17.9354251261232,559982.929677126,6812958.11342513,"STN00675",178.1,NA,NA,"STN00675",NA,"RB01"
700,-36.7543842461056,559957.656728079,6812903.55311575,"STN00700",178,NA,NA,"STN00700",NA,"LB01"
700,8.43609780690698,559957.882680489,6812948.74359781,"STN00700",178,NA,NA,"STN00700",NA,"RB01"
725,-48.3556783423776,559932.599221608,6812892.08082166,"STN00725",177.9,NA,NA,"STN00725",NA,"LB01"
725,9.19999999999972,559932.887,6812949.6365,"STN00725",177.9,NA,NA,"STN00725",NA,"RB01"
750,-49.7209368346345,559897.241917033,6812894.98147033,"STN00750",178,NA,NA,"STN00750",NA,"LB01"
750,13.8260581133077,559912.366101831,6812956.68560243,"STN00750",178,NA,NA,"STN00750",NA,"RB01"
775,-34.3812854037172,559863.673010806,6812932.85449549,"STN00775",177.7,NA,NA,"STN00775",NA,"LB01"
775,13.7916648122834,559899.995415268,6812964.50412378,"STN00775",177.7,NA,NA,"STN00775",NA,"RB01"
800,-26.6189666448658,559853.09929915,6812956.79983891,"STN00800",178.1,NA,NA,"STN00800",NA,"LB01"
800,18.976025390625,559887.477923144,6812986.75574868,"STN00800",178.1,NA,NA,"STN00800",NA,"RB01"
825,-14.2702956822963,559845.983697055,6812983.75841574,"STN00825",178.2,NA,NA,"STN00825",NA,"LB01"
825,23.4942032798388,559874.458129273,6813008.56969155,"STN00825",178.2,NA,NA,"STN00825",NA,"RB01"
850,-8.5853625858315,559833.84313661,6813006.33941678,"STN00850",178.1,NA,NA,"STN00850",NA,"LB01"
850,49.7721172789431,559877.844676428,6813044.68028105,"STN00850",178.1,NA,NA,"STN00850",NA,"RB01"
875,-9.68748311213539,559816.585137733,6813024.4613236,"STN00875",178.1,NA,NA,"STN00875",NA,"LB01"
875,36.7212848994295,559851.577348814,6813054.95188418,"STN00875",178.1,NA,NA,"STN00875",NA,"RB01"
900,-12.8642682237707,559797.762841759,6813041.21967578,"STN00900",178.2,NA,NA,"STN00900",NA,"LB01"
900,29.3947396600187,559829.626133704,6813068.98384396,"STN00900",178.2,NA,NA,"STN00900",NA,"RB01"
925,-15.9189211481359,559779.033133454,6813058.05826881,"STN00925",178,NA,NA,"STN00925",NA,"LB01"
925,24.998770119245,559809.88507267,6813084.94119197,"STN00925",178,NA,NA,"STN00925",NA,"RB01"
950,-31.0348286430761,559752.237806492,6813064.64941098,"STN00950",178,NA,NA,"STN00950",NA,"LB01"
950,17.1553745526348,559786.404660558,6813098.67169443,"STN00950",178,NA,NA,"STN00950",NA,"RB01"
975,-31.4583889630619,559753.003208055,6813063.78611104,"STN00975",178,NA,NA,"STN00975",NA,"LB01"
975,15.8620363062352,559753.239810181,6813111.10653631,"STN00975",178,NA,NA,"STN00975",NA,"RB01"
1000,-14.6428337874659,559728.087785831,6813080.73066621,"STN01000",178,NA,NA,"STN01000",NA,"LB01"
1000,28,559728.301,6813123.3735,"STN01000",178,NA,NA,"STN01000",NA,"RB01"
1025,2.8904091550399,559703.175452046,6813098.39240916,"STN01025",177.7,NA,NA,"STN01025",NA,"LB01"
