"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx"
25,4,560298.727,6813342.633,8,173.039993286133,190.490005493164,172.934997558594,"STN00025",50
50,-10,560284.5635,6813323.033,8,173.115997314453,NA,NA,"STN00050",42
75,0,560259.416,6813314.859,8,173.029998779297,NA,172.970001220703,"STN00075",49
100,1,560237.457,6813309.1745,8,173.136672973633,NA,172.964996337891,"STN00100",49
125,-7,560213.4455,6813300.322,8,172.975006103516,NA,NA,"STN00125",45
150,-1,560193.2835,6813296.3605,8,172.990005493164,176.744995117188,NA,"STN00150",48
175,11,560169.177,6813292.6455,8,173.100006103516,188.537506103516,172.985000610352,"STN00175",54
200,9,560151.2435,6813286.846,8,172.956253051758,179.139999389648,172.946670532227,"STN00200",54
225,5,560126.224,6813282.9755,8,172.979995727539,184.546463012695,NA,"STN00225",50
250,0,560102.093,6813276.0985,8,173.002502441406,NA,NA,"STN00250",48
275,-3,560084.4175,6813262.8245,8,173.093338012695,187.705001831055,NA,"STN00275",48
300,-4,560068.544,6813243.4845,8,172.932006835938,NA,NA,"STN00300",49
325,-16,560060.8875,6813216.8295,8,172.842849731445,NA,NA,"STN00325",43
350,-18,560057.9855,6813204.928,8,172.946670532227,NA,NA,"STN00350",42
375,-10,560053.864,6813188.0685,8,173.188003540039,NA,NA,"STN00375",46
400,4,560055.454,6813160.762,8,173.149993896484,182.910003662109,NA,"STN00400",51
425,0,560066.2175,6813141.1555,8,173.070007324219,NA,NA,"STN00425",49
450,-6,560072.0885,6813116.126,8,172.929992675781,NA,NA,"STN00450",45
475,-14,560079.959,6813091.086,8,173.160003662109,NA,NA,"STN00475",43
500,-11,560076.8295,6813066.1015,8,172.956665039062,NA,173.026672363281,"STN00500",44
525,-12,560077.7,6813041.097,8,172.990005493164,NA,NA,"STN00525",42
550,-8,560073.5705,6813016.117,8,173.070007324219,NA,172.979995727539,"STN00550",45
575,-4,560061.124,6812991.558,8,172.975006103516,NA,172.880004882812,"STN00575",47
600,-10,560049.598,6812968.3995,8,173.070007324219,NA,NA,"STN00600",43
625,-8,560031.4835,6812951.0545,8,173,NA,172.932495117188,"STN00625",43
650,-6,560008.0805,6812937.857,8,172.976669311523,183.225006103516,173.039993286133,"STN00650",44
675,-6,559982.81,6812934.178,8,172.869995117188,NA,172.850006103516,"STN00675",46
700,-8,559957.8005,6812932.3075,8,172.942504882812,196.463333129883,NA,"STN00700",47
725,-16,559932.761,6812924.4365,8,173.205993652344,NA,NA,"STN00725",43
750,-14,559905.7435,6812929.6665,8,173.255996704102,NA,NA,"STN00750",44
775,0,559889.5965,6812955.443,8,173.029998779297,190.979995727539,NA,"STN00775",51
800,-4,559870.154,6812971.6605,8,172.940002441406,181.725006103516,172.880004882812,"STN00800",48
825,3,559859.0055,6812995.105,8,172.982498168945,NA,172.929992675781,"STN00825",51
850,4,559843.3325,6813014.608,8,173.103744506836,NA,NA,"STN00850",53
875,10,559831.4295,6813037.396,8,173.177001953125,NA,NA,"STN00875",56
900,18,559821.0345,6813061.4975,8,173.548004150391,NA,NA,"STN00900",60
925,16,559803.1,6813079.029,8,173.447143554688,192.133743286133,NA,"STN00925",59
950,0,559774.2415,6813086.56,8,173.085006713867,NA,NA,"STN00950",51
975,2,559753.1705,6813097.2445,8,172.896667480469,NA,NA,"STN00975",51
1000,14,559728.231,6813109.3735,8,173,NA,NA,"STN01000",58
1025,26,559703.291,6813121.502,8,172.917999267578,NA,NA,"STN01025",64
1050,32,559678.3215,6813127.6305,8,172.973999023438,NA,NA,"STN01050",65
1075,16,559653.242,6813111.7595,8,173.179992675781,NA,NA,"STN01075",59
1100,8,559628.202,6813103.888,8,173.046661376953,186.480911254883,NA,"STN01100",51
1125,-1,559603.1575,6813095.0165,8,173.016662597656,NA,172.960006713867,"STN01125",47
1150,-8,559583.473,6813084.162,8,172.919998168945,193.339996337891,NA,"STN01150",47
1175,-3,559563.75,6813075.5505,8,173.103332519531,180.959091186523,NA,"STN01175",47
1200,0,559544.889,6813058.87,8,172.970001220703,NA,172.929992675781,"STN01200",50
1225,-1,559529.016,6813039.5295,8,172.929992675781,173.429992675781,NA,"STN01225",49
1250,-11,559519.866,6813014.204,8,172.964996337891,NA,NA,"STN01250",44
1275,-13,559504.7405,6812994.198,8,173.055709838867,188.298889160156,172.895004272461,"STN01275",41
1300,-14,559488.868,6812974.857,8,173.242004394531,183.293334960938,NA,"STN01300",44
1325,-4,559464.778,6812962.831,8,173.227996826172,NA,NA,"STN01325",49
1350,4,559444.1245,6812947.8745,8,173.139999389648,NA,NA,"STN01350",53
1375,11,559430.641,6812923.175,8,172.972503662109,NA,172.929992675781,"STN01375",55
1400,16,559425.5125,6812898.2005,8,172.904998779297,NA,172.820007324219,"STN01400",57
1425,12,559429.384,6812873.181,8,172.998565673828,NA,NA,"STN01425",52
1450,-10,559451.256,6812848.071,8,172.940002441406,NA,NA,"STN01450",44
1475,-16,559459.6595,6812828.3385,8,172.895004272461,172.800003051758,172.820007324219,"STN01475",42
1500,-14,559465.9525,6812812.6715,8,173.089996337891,NA,NA,"STN01500",44
1525,0,559465.788,6812782.3845,8,173.042495727539,NA,NA,"STN01525",51
1550,-6,559473.902,6812758.188,8,172.830001831055,193.910003662109,NA,"STN01550",47
1575,-2,559467.5355,6812733.681,8,172.929992675781,NA,NA,"STN01575",48
1600,-8,559460.971,6812707.75,8,173.029998779297,180.190002441406,NA,"STN01600",47
1625,-12,559455.1105,6812689.1965,8,173.037506103516,NA,NA,"STN01625",45
1650,-2,559438.992,6812669.276,8,173.539993286133,193.785995483398,NA,"STN01650",50
1675,-8,559431.414,6812643.937,8,173.25,NA,NA,"STN01675",47
1700,-10,559407.564,6812627.8615,8,173.065002441406,NA,NA,"STN01700",46
1725,-8,559388.828,6812622.471,8,173.220001220703,NA,NA,"STN01725",47
1750,8,559360.518,6812619.3595,8,172.988006591797,190.542495727539,NA,"STN01750",55
1775,10,559345.4785,6812614.917,8,172.860000610352,177.803329467773,NA,"STN01775",53
1800,-2,559320.419,6812603.045,8,172.949996948242,NA,NA,"STN01800",50
1825,-18,559295.339,6812587.173,8,173.365005493164,NA,NA,"STN01825",42
1850,-6,559270.3995,6812599.301,8,173.07666015625,NA,NA,"STN01850",48
1875,-4,559245.41,6812601.4285,8,173.031661987305,NA,NA,"STN01875",49
1900,-10,559220.38,6812595.556,8,173.279998779297,180.809997558594,NA,"STN01900",44
1925,-14,559203.6235,6812588.089,8,173.070007324219,NA,NA,"STN01925",44
1950,-9,559185.7465,6812580.5465,8,172.949996948242,NA,NA,"STN01950",45
1975,4,559165.713,6812565.389,8,173.110000610352,190.204544067383,NA,"STN01975",50
2000,7,559157.031,6812545.7295,8,172.873336791992,185.505004882812,NA,"STN02000",53
2025,-4,559152.5915,6812520.043,8,172.904998779297,NA,NA,"STN02025",48
2050,-6,559147.317,6812500.7645,8,172.919998168945,NA,172.854995727539,"STN02050",48
2075,-7,559148.1895,6812475.76,8,173.029998779297,NA,NA,"STN02075",46
2100,-8,559143.8675,6812449.3865,8,172.955001831055,NA,172.975006103516,"STN02100",45
2125,-12,559132.56,6812424.4635,8,172.968002319336,NA,172.850006103516,"STN02125",42
2150,-16,559118.9295,6812403.1265,8,172.981994628906,NA,NA,"STN02150",40
2175,-3,559092.5995,6812393.095,8,173.002502441406,NA,NA,"STN02175",48
2200,6,559069.258,6812380.4035,8,172.971664428711,NA,NA,"STN02200",54
2225,5,559052.991,6812368.4365,8,173.093338012695,NA,NA,"STN02225",50
2250,-1,559033.764,6812354.282,8,172.996673583984,189.375549316406,NA,"STN02250",47
2275,-2,559016.2915,6812339.44,8,172.869995117188,191.029998779297,172.940002441406,"STN02275",47
2300,0,558998.179,6812322.0935,8,172.957504272461,186.539993286133,172.860000610352,"STN02300",49
2325,-2,558983.055,6812302.0865,8,173.003326416016,189.740005493164,NA,"STN02325",48
2350,-4,558967.9305,6812282.0795,8,172.964279174805,NA,172.854995727539,"STN02350",47
2375,-2,558955.4015,6812263.549,8,172.919998168945,185.360000610352,NA,"STN02375",49
2400,8,558939.336,6812243.774,8,172.994995117188,NA,NA,"STN02400",53
2425,5,558931.654,6812224.2495,8,172.965713500977,NA,NA,"STN02425",51
2450,-6,558923.2525,6812198.2575,8,172.830001831055,192.5,172.949996948242,"STN02450",45
2475,-12,558912.6355,6812175.9415,8,173.022857666016,194.54052734375,NA,"STN02475",42
2500,-12,558907.6425,6812160.958,8,172.955001831055,184.475006103516,NA,"STN02500",42
2525,-3,558890.6375,6812136.997,8,172.934997558594,NA,NA,"STN02525",46
2550,-2,558872.795,6812120.4325,8,173.179992675781,186.259170532227,NA,"STN02550",48
2575,-4,558850.9015,6812109.5705,8,173.044998168945,NA,172.936660766602,"STN02575",45
2600,-7,558835.505,6812098.1325,8,172.964996337891,NA,NA,"STN02600",45
2625,1,558811.0985,6812089.891,8,173.07666015625,181.931106567383,172.945007324219,"STN02625",48
2650,0,558788.516,6812084.5565,8,173.142501831055,NA,172.873336791992,"STN02650",47
2675,2,558763.5265,6812086.6835,8,172.929992675781,NA,NA,"STN02675",51
2700,-2,558738.507,6812082.81,8,172.979995727539,NA,NA,"STN02700",50
2725,-10,558713.467,6812074.9365,8,172.964996337891,182.777496337891,172.929992675781,"STN02725",44
2750,-10,558688.4675,6812075.063,8,172.990005493164,NA,172.839996337891,"STN02750",43
2775,-3,558663.5275,6812082.302,8,172.899993896484,NA,172.880004882812,"STN02775",48
2800,14,558653.463,6812104.098,8,172.970001220703,NA,NA,"STN02800",57
2825,14,558637.035,6812122.9425,8,173.075714111328,NA,NA,"STN02825",58
2850,15,558621.361,6812142.444,8,172.979995727539,NA,172.970001220703,"STN02850",57
2875,23,558595.595,6812167.015,8,172.977996826172,173.970001220703,172.800003051758,"STN02875",61
2900,3,558567.781,6812143.704,8,173.106674194336,NA,NA,"STN02900",49
2925,-1,558552.003,6812125.1235,8,172.930908203125,NA,173,"STN02925",49
2950,2,558533.1445,6812108.441,8,173.216659545898,173.773330688477,NA,"STN02950",52
2975,-8,558528.1855,6812083.675,8,173.029998779297,NA,NA,"STN02975",NA
3000,-8,558523.69,6812064.2385,8,172.983337402344,187.952499389648,NA,"STN03000",46
3025,-17,558532.564,6812039.194,8,172.789993286133,NA,NA,"STN03025",40
3050,-16,558531.438,6812014.199,8,173.009994506836,196.556671142578,NA,"STN03050",39
3075,-14,558529.312,6811989.2095,8,172.940002441406,NA,NA,"STN03075",41
3100,-7,558522.186,6811964.245,8,172.953994750977,192.740005493164,NA,"STN03100",45
3125,0,558515.0595,6811939.28,8,172.919998168945,NA,NA,"STN03125",49
3150,0,558514.933,6811914.2805,8,172.936004638672,187.761245727539,NA,"STN03150",51
3175,6,558502.1895,6811896.309,8,172.966659545898,NA,NA,"STN03175",54
3200,12,558482.4405,6811886.984,8,173.483993530273,186.795333862305,NA,"STN03200",57
3225,4,558466.6365,6811874.75,8,172.889999389648,NA,NA,"STN03225",51
3250,-10,558440.9515,6811862.5805,8,172.929992675781,NA,NA,"STN03250",46
3275,-27,558402.014,6811865.8315,8,172.899993896484,NA,NA,"STN03275",34
3300,-67,558347.0245,6811882.2075,8,173.177505493164,NA,NA,"STN03300",16
3325,-70,558335.571,6811912.3325,8,173.035003662109,NA,NA,"STN03325",16
3350,-73,558338.4245,6811899.72,8,172.994995117188,180.306243896484,173.009994506836,"STN03350",12
3375,8,558390.274,6811970.4275,8,172.957992553711,197.699996948242,NA,"STN03375",55
3400,14,558389.629,6811995.361,8,173.497146606445,NA,NA,"STN03400",58
3425,18,558378.132,6812023.618,8,173.259994506836,186.115005493164,NA,"STN03425",59
3450,12,558357.18,6812038.52,8,173.41667175293,190.175003051758,NA,"STN03450",57
3475,10,558337.79,6812055.4965,8,173.192855834961,184.414993286133,NA,"STN03475",56
3500,16,558309.802,6812072.1975,8,173.13166809082,190.401428222656,NA,"STN03500",59
3525,12,558284.7825,6812068.323,8,173.550003051758,189.705001831055,NA,"STN03525",57
3550,8,558259.763,6812064.449,8,173.366668701172,192.475006103516,NA,"STN03550",55
3575,8,558234.763,6812064.5745,8,173.496246337891,191.141998291016,NA,"STN03575",55
3600,0,558213.2,6812064.2925,8,173.529998779297,NA,NA,"STN03600",51
3625,-98,558136.8525,6811999.9605,8,173.152496337891,NA,NA,"STN03625",2
3650,-2,558180.9015,6812073.712,8,173.289993286133,NA,NA,"STN03650",50
3675,12,558153.8265,6812064.344,8,173.303329467773,190.996673583984,NA,"STN03675",57
3700,6,558141.6915,6812041.6755,8,172.833999633789,NA,NA,"STN03700",54
3725,6,558130.914,6812016.6675,8,172.889999389648,NA,NA,"STN03725",54
3750,-4,558139.8645,6811991.5215,8,172.860000610352,NA,NA,"STN03750",49
3775,-10,558141.73,6811964.825,8,172.971664428711,189.633743286133,NA,"STN03775",46
3800,-18,558133.7555,6811935.4385,8,173.001663208008,NA,NA,"STN03800",42
3825,-12,558112.657,6811920.75,8,172.860000610352,173.990005493164,NA,"STN03825",45
3850,4,558084.0885,6811912.7115,8,172.759994506836,NA,NA,"STN03850",53
3875,10,558062.9895,6811898.0225,8,173.297500610352,177.575714111328,NA,"STN03875",56
3900,4,558050.114,6811881.124,8,173.5,175.66667175293,NA,"STN03900",53
3925,0,558028.7855,6811872.9495,8,173.324996948242,182.266662597656,NA,"STN03925",51
3950,-4,558006.2895,6811866.0385,8,172.809997558594,NA,NA,"STN03950",49
3975,-6,557990.2985,6811853.44,8,173.059997558594,179.106674194336,NA,"STN03975",48
4000,6,557964.718,6811842.7415,8,173.237503051758,185.853332519531,NA,"STN04000",54
4025,6,557948.039,6811824.799,8,173.074996948242,NA,NA,"STN04025",54
4050,-2,557931.28,6811809.8845,8,173.406661987305,184.75,NA,"STN04050",50
4075,-4,557913.308,6811800.138,8,173.561660766602,NA,NA,"STN04075",49
4100,10,557886.8585,6811795.986,8,173.45832824707,182.350006103516,NA,"STN04100",56
4125,6,557869.918,6811784.956,8,173.51286315918,NA,NA,"STN04125",54
4150,2,557849.831,6811768.7795,8,173.317993164062,NA,NA,"STN04150",52
4175,10,557830.1295,6811749.6465,8,173.447143554688,NA,NA,"STN04175",56
4200,6,557830.38,6811723.113,8,173.147506713867,NA,NA,"STN04200",54
4225,-8,557842.9965,6811697.707,8,173.426666259766,NA,NA,"STN04225",47
4250,-14,557835.921,6811667.8615,8,173.419998168945,NA,NA,"STN04250",44
4275,-27,557829.016,6811640.5375,8,173.399993896484,NA,NA,"STN04275",NA
4300,-16,557804.183,6811629.1735,8,173.294998168945,186.679992675781,NA,"STN04300",43
4325,-20,557762.836,6811622.064,8,172.52799987793,NA,NA,"STN04325",41
4350,-22,557744.5815,6811634.399,8,172.596664428711,NA,NA,"STN04350",40
4375,-16,557735.357,6811644.412,8,172.396667480469,179.300003051758,NA,"STN04375",43
4400,-8,557711.0735,6811665.8535,8,172.899993896484,183.5,NA,"STN04400",47
4425,-4,557697.6605,6811687.325,8,172.899993896484,NA,NA,"STN04425",47
4450,-12,557675.199,6811700.913,8,172.869995117188,NA,NA,"STN04450",44
4475,4,557664.5845,6811723.5585,8,172.945999145508,179.520004272461,NA,"STN04475",53
4500,6,557639.755,6811727.0085,8,172.464996337891,NA,NA,"STN04500",54
4525,10,557614.775,6811731.133,8,172.429992675781,NA,NA,"STN04525",53
4550,5,557589.7505,6811726.257,8,172.389999389648,172.616668701172,172.365005493164,"STN04550",52
4575,-66,557564.396,6811655.381,8,172.259994506836,NA,NA,"STN04575",18
4600,-12,557558.1225,6811709.7095,8,172.429992675781,NA,NA,"STN04600",45
4625,-24,557571.778,6811719.562,8,172.473327636719,185.779006958008,NA,"STN04625",32
4650,14,557549.6165,6811680.626,8,173.032501220703,183.270004272461,NA,"STN04650",58
4675,6,557564.2225,6811657.4735,8,172.306671142578,NA,NA,"STN04675",54
4700,10,557575.052,6811633.115,8,173.029998779297,NA,NA,"STN04700",56
4725,14,557577.35,6811617.381,8,173.074996948242,187.966659545898,NA,"STN04725",58
4750,-4,557595.803,6811593.1835,8,172.910003662109,NA,NA,"STN04750",49
4775,0,557587.8325,6811569.678,8,173.035003662109,NA,NA,"STN04775",51
4800,0,557575.616,6811549.3125,8,173.043334960938,NA,NA,"STN04800",51
4825,-28,557579.9165,6811512.013,8,172.985000610352,NA,NA,"STN04825",37
4850,-23,557556.3495,6811496.059,8,172.899993896484,183.345993041992,NA,"STN04850",38
4875,-28,557522.5185,6811477.297,8,172.604995727539,NA,NA,"STN04875",37
4900,-28,557520.981,6811476.3595,8,172.672500610352,NA,NA,"STN04900",37
4925,-4,557483.2715,6811477.0415,8,172.835006713867,NA,NA,"STN04925",49
4950,18,557454.8835,6811489.304,8,172.547500610352,189.669998168945,NA,"STN04950",60
4975,50,557403.7795,6811492.5755,8,172.869995117188,178.482498168945,NA,"STN04975",76
5000,14,557416.8425,6811440.9495,8,172.669998168945,183.470001220703,NA,"STN05000",58
5025,12,557416.297,6811414.209,8,172.479995727539,NA,NA,"STN05025",57
5050,8,557418.059,6811391.5855,8,171.994995117188,NA,NA,"STN05050",55
5075,-46,557449.6335,6811338.456,8,172.529998779297,177.726669311523,NA,"STN05075",28
5100,-51,557436.7535,6811316.451,8,172.13166809082,193.403335571289,172.050003051758,"STN05100",24
5125,-24,557399.9695,6811315.726,8,172.580001831055,179.467147827148,NA,"STN05125",39
5150,-6,557361.2525,6811316.353,8,172.774444580078,NA,NA,"STN05150",48
5175,2,557336.293,6811324.422,8,172.550003051758,182.876358032227,NA,"STN05175",51
5200,6,557311.3135,6811328.5455,8,172.335006713867,NA,NA,"STN05200",54
5225,12,557286.344,6811334.669,8,172.210006713867,NA,NA,"STN05225",57
5250,18,557254.466,6811331.854,8,172.252502441406,185.945007324219,172.160003662109,"STN05250",59
5275,16,557234.0565,6811311.586,8,172.210006713867,NA,NA,"STN05275",59
5300,0,557237.9115,6811279.195,8,172.240005493164,NA,172.199996948242,"STN05300",51
5325,-2,557239.788,6811254.185,8,172.414993286133,NA,NA,"STN05325",50
5350,-8,557245.6645,6811229.1555,8,172.300003051758,181.854995727539,NA,"STN05350",47
5375,-3,557240.541,6811204.181,8,172.285995483398,NA,172.289993286133,"STN05375",47
5400,10,557226.668,6811180.171,8,172.227493286133,184.806671142578,NA,"STN05400",53
5425,-1,557228.2565,6811157.281,8,172.503326416016,NA,NA,"STN05425",46
5450,-9,557222.919,6811134.3155,8,172.274993896484,NA,NA,"STN05450",44
5475,-10,557219.9965,6811114.513,8,172.352493286133,184.276916503906,172.380004882812,"STN05475",43
5500,14,557195.8735,6811089.633,8,172.362503051758,189.009994506836,NA,"STN05500",58
5525,28,557181.75,6811064.7035,8,172.589996337891,NA,NA,"STN05525",65
5550,36,557173.6265,6811039.744,8,172.395004272461,181.740005493164,NA,"STN05550",69
5575,36,557171.8065,6811029.843,8,172.539993286133,182.738327026367,NA,"STN05575",68
5600,26,557172.9905,6811013.356,8,172.54167175293,182.619995117188,NA,"STN05600",64
5625,12,557171.1605,6810975.5385,8,172.422225952148,NA,NA,"STN05625",57
5650,16,557162.5005,6810959.4645,8,172.355712890625,182.5,NA,"STN05650",59
5675,10,557155.462,6810938.7515,8,172.412506103516,NA,NA,"STN05675",56
5700,14,557140.7855,6810910.367,8,172.050003051758,183.361434936523,172.065002441406,"STN05700",56
5725,18,557136.6625,6810885.387,8,172.764007568359,NA,NA,"STN05725",60
5750,8,557142.6175,6810865.219,8,172.543334960938,NA,NA,"STN05750",55
5775,0,557137.015,6810841.965,8,172.860000610352,180.910903930664,NA,"STN05775",51
5800,-10,557117.175,6810821.906,8,172.497497558594,NA,NA,"STN05800",46
5825,-12,557091.8625,6810819.2085,8,172.296005249023,NA,NA,"STN05825",45
5850,-16,557066.843,6810815.3315,8,172.091659545898,NA,NA,"STN05850",43
5875,-14,557041.853,6810817.4545,8,172.110000610352,NA,NA,"STN05875",44
5900,-10,557016.8735,6810821.5775,8,172.399993896484,NA,NA,"STN05900",46
5925,-4,556992.3955,6810832.6865,8,172.309997558594,NA,NA,"STN05925",49
5950,-2,556973.94,6810849.1295,8,172.248565673828,188.039993286133,NA,"STN05950",50
5975,-4,556956.0025,6810866.6585,8,172.147994995117,NA,NA,"STN05975",49
6000,1,556942.303,6810886.9025,8,172.08332824707,186.667694091797,172.080001831055,"STN06000",50
6025,8,556921.445,6810902.775,8,172.279998779297,176.377777099609,NA,"STN06025",54
6050,10,556907.979,6810912.0925,8,172.162002563477,191.072311401367,NA,"STN06050",56
6075,-16,556875.111,6810905.302,8,172.403335571289,186.646362304688,NA,"STN06075",43
6100,-16,556859.018,6810908.6815,8,172.772506713867,188.740005493164,NA,"STN06100",43
6125,4,556834.1185,6810928.804,8,172.809997558594,179.330001831055,NA,"STN06125",53
6150,2,556809.725,6810924.6595,8,172.839996337891,NA,NA,"STN06150",52
6175,-22,556806.718,6810896.5515,8,172.696243286133,NA,NA,"STN06175",40
6200,-20,556797.7345,6810884.8535,8,172.460006713867,NA,NA,"STN06200",41
6225,44,556729.6715,6810879.571,8,172.563339233398,173.490005493164,NA,"STN06225",73
6250,44,556727.876,6810876.6195,8,172.539993286133,NA,NA,"STN06250",73
6275,0,556750.1155,6810826.385,8,172.395004272461,183.573150634766,NA,"STN06275",51
6300,4,556743.733,6810802.2715,8,172.413330078125,181.397506713867,NA,"STN06300",50
6325,-10,556757.6105,6810777.202,8,172.229995727539,182.651428222656,NA,"STN06325",46
6350,-1,556748.488,6810752.247,8,172.130004882812,179.345001220703,NA,"STN06350",48
6375,5,556742.366,6810727.277,8,172.039993286133,NA,NA,"STN06375",52
6400,4,556743.2435,6810702.2725,8,172.085006713867,NA,172.089996337891,"STN06400",53
6425,2,556745.121,6810677.263,8,172.133331298828,172.634994506836,NA,"STN06425",48
6450,8,556738.9985,6810652.293,8,172.097503662109,NA,NA,"STN06450",55
6475,-16,556763.743,6810628.6915,8,172.380004882812,183.505004882812,NA,"STN06475",42
6500,-16,556768.892,6810616.5125,8,172.089996337891,189.534286499023,NA,"STN06500",43
6525,-10,556780.798,6810593.7275,8,172.024993896484,183.422500610352,NA,"STN06525",46
6550,-6,556794.2115,6810572.2565,8,172.214996337891,184.205001831055,NA,"STN06550",48
6575,-8,556807.216,6810547.8265,8,172.369995117188,NA,NA,"STN06575",47
6600,-14,556814.5645,6810522.382,8,171.975006103516,NA,NA,"STN06600",44
6625,-22,556822.442,6810497.342,8,172.257995605469,NA,NA,"STN06625",40
6650,-20,556820.3195,6810472.3525,8,172.210006713867,189.98388671875,172.130004882812,"STN06650",40
6675,-19,556819.197,6810447.358,8,172.171997070312,172.524993896484,NA,"STN06675",40
6700,-21,556809.1905,6810412.394,8,172.171661376953,172.566665649414,NA,"STN06700",39
6725,-17,556789.499,6810395.019,8,172.164993286133,NA,NA,"STN06725",40
6750,0,556760.1865,6810387.6425,8,172.294006347656,NA,NA,"STN06750",51
6775,14,556736.7035,6810388.164,8,172.494995117188,NA,NA,"STN06775",58
6800,10,556724.3305,6810385.392,8,172.518005371094,NA,NA,"STN06800",56
6825,-16,556689.383,6810380.4715,8,172.529998779297,NA,NA,"STN06825",43
6850,-12,556680.1685,6810389.4465,8,172.388336181641,NA,NA,"STN06850",45
6875,-8,556656.557,6810394.477,8,172.352493286133,NA,NA,"STN06875",47
6900,10,556631.6475,6810412.5995,8,172.335006713867,NA,NA,"STN06900",56
6925,16,556606.678,6810418.722,8,172.077499389648,188.39143371582,NA,"STN06925",59
6950,20,556581.698,6810422.844,8,172.300003051758,179.592498779297,NA,"STN06950",61
6975,20,556550.8075,6810416.8815,8,172.386001586914,186.626007080078,NA,"STN06975",61
7000,24,556521.8825,6810400.637,8,172.543334960938,NA,NA,"STN07000",63
7025,12,556518.1975,6810364.7255,8,172.380004882812,187.820007324219,NA,"STN07025",57
7050,8,556520.6625,6810338.895,8,172.363327026367,187.279998779297,NA,"STN07050",55
7075,-6,556534.541,6810313.8255,8,172.628570556641,NA,NA,"STN07075",48
7100,2,556526.419,6810288.866,8,172.487503051758,188.815719604492,NA,"STN07100",52
7125,4,556524.297,6810263.876,8,172.6728515625,183.154998779297,NA,"STN07125",53
7150,8,556529.4245,6810236.768,8,172.585006713867,NA,NA,"STN07150",55
7175,14,556540.912,6810213.3685,8,172.58332824707,NA,NA,"STN07175",58
7200,4,556564.882,6810201.095,8,172.470001220703,183.678146362305,NA,"STN07200",53
7225,4,556585.829,6810187.0035,8,172.151245117188,NA,NA,"STN07225",53
7250,18,556610.387,6810169.269,8,172.404998779297,NA,NA,"STN07250",60
7275,-28,556635.6165,6810215.147,8,172.419998168945,189.809997558594,NA,"STN07275",37
7300,-16,556660.556,6810203.025,8,172.199996948242,180.354995727539,NA,"STN07300",43
7325,-2,556685.486,6810188.9025,8,172.383331298828,NA,NA,"STN07325",50
7350,-4,556710.496,6810190.78,8,172.376007080078,NA,NA,"STN07350",49
7375,0,556734.9175,6810185.4385,8,172.328338623047,NA,NA,"STN07375",51
7400,6,556750.5495,6810170.7945,8,172.350006103516,NA,NA,"STN07400",54
7425,10,556763.963,6810149.323,8,172.148330688477,NA,NA,"STN07425",56
7450,6,556783.4085,6810133.1075,8,171.986663818359,187.293334960938,NA,"STN07450",54
7475,0,556797.3295,6810115.5905,8,171.544998168945,189.854995727539,NA,"STN07475",51
7500,-2,556800.4505,6810091.043,8,171.520004272461,186.523742675781,NA,"STN07500",48
7525,4,556794.3275,6810066.0735,8,171.830001831055,NA,NA,"STN07525",53
7550,10,556786.9735,6810042.6685,8,172.113327026367,188.755004882812,NA,"STN07550",56
7575,-2,556788.7485,6810018.8725,8,172.077774047852,NA,NA,"STN07575",50
7600,-4,556773.6295,6809998.861,7,172.350006103516,184.070007324219,NA,"STN07600",49
7625,-12,556762.9925,6809974.859,7,172.277770996094,NA,NA,"STN07625",45
7650,-28,556736.3175,6809944.5065,7,171.88200378418,NA,NA,"STN07650",37
7675,-26,556728.885,6809943.6505,7,171.729995727539,NA,NA,"STN07675",38
7700,-5,556698.8335,6809943.852,7,171.210006713867,NA,NA,"STN07700",47
7725,0,556678.4855,6809928.495,7,171.746002197266,191.684997558594,NA,"STN07725",51
7750,0,556666.0915,6809908.1965,7,171.75,172.633331298828,NA,"STN07750",51
7775,-6,556667.943,6809884.7095,7,171.303329467773,172.490005493164,NA,"STN07775",48
7800,-14,556676.2315,6809860.2845,7,171.190002441406,NA,NA,"STN07800",43
7825,-16,556682.8595,6809848.6355,7,171.285003662109,NA,NA,"STN07825",43
7850,-10,556694.7645,6809825.85,7,171.509994506836,177.686660766602,NA,"STN07850",46
7875,-6,556708.1775,6809804.378,7,171.869995117188,NA,NA,"STN07875",48
7900,-6,556724.6065,6809785.5345,7,171.705001831055,191.240005493164,NA,"STN07900",48
7925,-6,556741.0355,6809766.691,7,171.619995117188,189.020004272461,NA,"STN07925",48
7950,-6,556757.4645,6809747.847,7,171.410003662109,190.940002441406,NA,"STN07950",48
7975,-20,556784.4495,6809738.201,7,171.720001220703,NA,NA,"STN07975",41
8000,-30,556808.4185,6809725.927,7,171.529998779297,177.050003051758,NA,"STN08000",36
8025,-22,556818.8155,6809701.8275,7,171.413330078125,179.919998168945,NA,"STN08025",40
8050,-26,556838.7735,6809681.981,7,171.330001831055,NA,NA,"STN08050",37
8075,-16,556839.364,6809645.246,7,171.429992675781,179.414993286133,NA,"STN08075",41
8100,-1,556824.2415,6809620.3215,7,171.336669921875,NA,NA,"STN08100",49
8125,20,556803.119,6809595.427,7,171.940002441406,194.475006103516,NA,"STN08125",60
8150,40,556781.5495,6809586.674,7,171.755004882812,190.884002685547,NA,"STN08150",71
8175,48,556770.279,6809583.612,7,172.139999389648,NA,NA,"STN08175",75
8200,46,556781.576,6809587.1,7,171.714996337891,190.479995727539,NA,"STN08200",74
