"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx"
27025,14,548830.804,6801850.2695,5,167.679992675781,NA,NA,"STN27025",58
27050,16,548815.382,6801840.3845,5,167.779998779297,176.178329467773,NA,"STN27050",59
27075,14,548800.3815,6801834.9415,5,167.705001831055,178.770004272461,NA,"STN27075",58
27100,12,548773.9705,6801830.3775,5,168.240005493164,181.686004638672,NA,"STN27100",57
27125,6,548752.2025,6801810.8995,5,168.092498779297,NA,NA,"STN27125",54
27150,10,548734.412,6801803.5315,5,167.757995605469,NA,NA,"STN27150",56
27175,13,548714.162,6801803.5295,5,167.615005493164,172.463333129883,167.630004882812,"STN27175",55
27200,8,548694.042,6801802.2755,5,167.595001220703,NA,NA,"STN27200",55
27225,2,548673.764,6801809.87,5,167.729995727539,NA,NA,"STN27225",52
27250,8,548661.8525,6801832.65,5,168.110000610352,182.206665039062,NA,"STN27250",55
27275,28,548663.932,6801862.5525,5,167.897506713867,NA,NA,"STN27275",65
27300,30,548664.0575,6801869.088,5,167.919998168945,181.615997314453,NA,"STN27300",66
27325,27,548661.163,6801894.1,5,168.115005493164,185.572494506836,NA,"STN27325",63
27350,24,548660.9255,6801905.0205,5,168,188.975708007812,NA,"STN27350",63
27375,18,548667.745,6801925.5025,5,167.964004516602,175.660003662109,NA,"STN27375",60
27400,14,548675.5155,6801958.82,5,168.360000610352,171.413330078125,NA,"STN27400",58
27425,16,548681.607,6801972.0015,5,168.419998168945,170.096664428711,NA,"STN27425",59
27450,-96,548602.2865,6802054.3475,5,167.942398071289,186.685913085938,NA,"STN27450",3
27475,-10,548678.868,6802023.5835,5,168.300994873047,187.872146606445,NA,"STN27475",46
27500,-8,548674.832,6802040.433,5,168.266326904297,NA,NA,"STN27500",47
27525,-6,548660.092,6802056.414,5,167.828002929688,NA,NA,"STN27525",48
27550,-4,548641.253,6802063.8215,5,168.046997070312,NA,NA,"STN27550",49
27575,-6,548617.6875,6802060.4535,5,168.117202758789,169.721496582031,NA,"STN27575",48
27600,-4,548599.825,6802052.9315,5,167.914001464844,184.960571289062,NA,"STN27600",49
27625,6,548575.705,6802047.323,5,167.810394287109,186.604995727539,NA,"STN27625",54
27650,10,548560.583,6802050.8285,5,167.830673217773,NA,NA,"STN27650",56
27675,-3,548535.8325,6802053.129,5,167.755493164062,180.626998901367,NA,"STN27675",48
27700,-4,548518.643,6802071.31,5,167.796005249023,NA,NA,"STN27700",49
27725,-14,548494.667,6802083.578,5,168.042007446289,180.03889465332,NA,"STN27725",44
27750,-16,548476.739,6802101.1015,5,168.233001708984,NA,NA,"STN27750",43
27775,-10,548466.126,6802116.4145,5,168.03466796875,NA,NA,"STN27775",46
27800,-4,548447.1675,6802126.1895,5,168.035171508789,NA,NA,"STN27800",49
27825,8,548421.3965,6802134.646,5,167.873992919922,174.050994873047,NA,"STN27825",55
27850,14,548393.884,6802123.6525,5,168.082504272461,NA,NA,"STN27850",58
27875,8,548385.812,6802095.042,5,168.223999023438,NA,NA,"STN27875",55
27900,10,548377.81,6802074.2725,5,168.140396118164,NA,NA,"STN27900",56
27925,-4,548377.8665,6802047.8465,5,168.13200378418,NA,NA,"STN27925",49
27950,-10,548375.168,6802028.029,5,168.058502197266,NA,NA,"STN27950",46
27975,-24,548380.4075,6801996.1555,5,167.86799621582,178.695007324219,NA,"STN27975",39
28000,-18,548358.8565,6801974.6965,5,167.705001831055,192.686660766602,NA,"STN28000",42
28025,6,548330.8115,6801965.0255,5,167.809997558594,NA,NA,"STN28025",54
28050,18,548314.9775,6801951.634,5,167.889999389648,173.169998168945,NA,"STN28050",60
28075,12,548307.1585,6801932.384,5,167.792495727539,NA,NA,"STN28075",57
28100,-20,548294.5205,6801895.2285,5,167.679992675781,NA,NA,"STN28100",41
28125,-30,548296.0595,6801885.843,5,167.914993286133,174.639999389648,NA,"STN28125",36
28150,-10,548260.497,6801881.9885,5,167.642501831055,174.323333740234,NA,"STN28150",42
28175,-6,548233.027,6801878.876,5,167.559997558594,NA,NA,"STN28175",44
28200,-6,548208.027,6801878.9805,5,167.479995727539,173.606674194336,167.529998779297,"STN28200",45
28225,-3,548183.2865,6801883.304,5,167.520004272461,NA,167.520004272461,"STN28225",47
28250,-12,548154.386,6801889.08,5,167.520004272461,188.425003051758,NA,"STN28250",41
28275,-16,548138.105,6801896.743,5,167.610000610352,NA,NA,"STN28275",43
28300,-21,548122.01,6801895.115,5,167.520004272461,NA,NA,"STN28300",38
28325,-16,548094.2185,6801903.815,5,167.509994506836,179.330001831055,NA,"STN28325",40
28350,-24,548061.041,6801915.962,5,167.5,180.449996948242,NA,"STN28350",38
28375,-22,548054.0135,6801922.943,5,167.610000610352,181.266662597656,NA,"STN28375",40
28400,-22,548036.0485,6801925.249,5,167.580001831055,NA,NA,"STN28400",40
28425,2,548012.4635,6801944.3125,5,167.919998168945,NA,NA,"STN28425",52
28450,54,547954.2895,6801964.202,5,168.134994506836,NA,NA,"STN28450",78
28475,-10,547975.324,6801907.9275,5,168.164993286133,184.630004882812,NA,"STN28475",46
28500,8,547948.226,6801915.5955,5,167.910003662109,177.929992675781,NA,"STN28500",54
