distance,angle,east,nrth,code,east_2,nrth_2,grp
68550.000000000000000,270.149389180846583,529988.611,6789451.707,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68575.000000000000000,270.149254413752431,529963.611,6789451.772,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68600.000000000000000,270.149119643057531,529938.611,6789451.838,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68625.000000000000000,270.148984875693316,529913.611,6789451.903,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68650.000000000000000,318.835506361948262,529889.051,6789452.933,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68675.000000000000000,318.835506361948262,529872.595,6789471.754,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68700.000000000000000,270.148714036160527,529852.615,6789482.837,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68725.000000000000000,318.835260600139804,529830.439,6789489.101,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68750.000000000000000,318.835260600139804,529813.984,6789507.922,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68775.000000000000000,270.148443205928459,529791.619,6789513.771,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68800.000000000000000,270.148308437627975,529766.619,6789513.836,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68825.000000000000000,318.834573232272191,529746.127,6789523.796,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68850.000000000000000,318.834573232272191,529729.671,6789542.616,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68875.000000000000000,270.148037613113218,529705.623,6789544.770,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68900.000000000000000,270.147902844895441,529680.623,6789544.834,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68925.000000000000000,221.461368511330477,529661.744,6789531.276,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68950.000000000000000,221.461055559458515,529645.191,6789512.541,"5296789",529000.000000000000000,6789000.000000000000000,"1"
68975.000000000000000,221.461055559458515,529628.638,6789493.806,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69000.000000000000000,221.460844868927978,529612.085,6789475.071,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69025.000000000000000,221.460844868927978,529595.533,6789456.336,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69050.000000000000000,180.147435676850648,529592.298,6789432.540,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69075.000000000000000,138.834315668805829,529601.761,6789411.104,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69100.000000000000000,138.834315668805829,529618.217,6789392.284,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69125.000000000000000,180.147573025327858,529619.181,6789367.669,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69150.000000000000000,138.834607427980472,529630.792,6789347.036,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69175.000000000000000,180.147710378437722,529646.128,6789327.797,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69200.000000000000000,180.147710378437722,529646.064,6789302.797,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69225.000000000000000,138.834899209311203,529659.823,6789282.968,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69250.000000000000000,180.147847736507970,529673.011,6789262.925,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69275.000000000000000,180.147847736507970,529672.946,6789237.925,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69300.000000000000000,138.835293263692478,529688.853,6789218.899,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69325.000000000000000,180.147985098546684,529699.892,6789198.053,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69350.000000000000000,180.147986391302510,529699.828,6789173.053,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69375.000000000000000,180.147986391302510,529699.763,6789148.053,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69400.000000000000000,180.147987684505068,529699.699,6789123.053,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69425.000000000000000,221.460338161678891,529689.169,6789102.030,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69450.000000000000000,221.460338161678891,529672.616,6789083.294,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69475.000000000000000,270.147787449641442,529647.651,6789083.280,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69500.000000000000000,221.459992671513447,529630.371,6789066.164,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69525.000000000000000,270.147519173522767,529611.496,6789052.597,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69550.000000000000000,318.835146662520685,529588.145,6789056.281,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69575.000000000000000,318.835146662520685,529571.690,6789075.101,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69600.000000000000000,270.147248318408117,529550.500,6789083.530,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69625.000000000000000,270.147113533075299,529525.500,6789083.594,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69650.000000000000000,318.834459263503163,529503.833,6789090.976,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69675.000000000000000,318.834459263503163,529487.377,6789109.796,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69700.000000000000000,318.834348253257872,529470.921,6789128.616,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69725.000000000000000,318.834237262028353,529454.465,6789147.436,"5296789",529000.000000000000000,6789000.000000000000000,"1"
69750.000000000000000,318.834237262028353,529438.009,6789166.257,"5296789",529000.000000000000000,6789000.000000000000000,"1"
